Vial,Date,Run,Well,Sample.Type,Concentration
519,20190125,8,D8,Sample,
519,20190125,8,D9,Sample,
526,20190125,8,D10,Sample,
526,20190125,8,D11,Sample,
526,20190125,8,D12,Sample,
527,20190125,8,E1,Sample,
527,20190125,8,E2,Sample,
527,20190125,8,E3,Sample,
528,20190125,8,E4,Sample,
528,20190125,8,E5,Sample,
528,20190125,8,E6,Sample,
535,20190125,8,E7,Sample,
535,20190125,8,E8,Sample,
535,20190125,8,E9,Sample,
536,20190125,8,E10,Sample,
536,20190125,8,E11,Sample,
536,20190125,8,E12,Sample,
537,20190125,8,F1,Sample,
537,20190125,8,F2,Sample,
537,20190125,8,F3,Sample,
544,20190125,8,F4,Sample,
544,20190125,8,F5,Sample,
544,20190125,8,F6,Sample,
545,20190125,8,F7,Sample,
545,20190125,8,F8,Sample,
545,20190125,8,F9,Sample,
546,20190125,8,F10,Sample,
546,20190125,8,F11,Sample,
546,20190125,8,F12,Sample,
553,20190125,8,G1,Sample,
553,20190125,8,G2,Sample,
553,20190125,8,G3,Sample,
554,20190125,8,G4,Sample,
554,20190125,8,G5,Sample,
554,20190125,8,G6,Sample,
555,20190125,8,G7,Sample,
555,20190125,8,G8,Sample,
555,20190125,8,G9,Sample,
562,20190125,8,G10,Sample,
562,20190125,8,G11,Sample,
562,20190125,8,G12,Sample,
563,20190125,8,H1,Sample,
563,20190125,8,H2,Sample,
563,20190125,8,H3,Sample,
564,20190125,8,H4,Sample,
564,20190125,8,H5,Sample,
564,20190125,8,H6,Sample,
571,20190125,8,H7,Sample,
571,20190125,8,H8,Sample,
571,20190125,8,H9,Sample,
572,20190125,8,H10,Sample,
572,20190125,8,H11,Sample,
572,20190125,8,H12,Sample,
573,20190125,9,A1,Sample,
573,20190125,9,A2,Sample,
573,20190125,9,A3,Sample,
580,20190125,9,A4,Sample,
580,20190125,9,A5,Sample,
580,20190125,9,A6,Sample,
581,20190125,9,A7,Sample,
581,20190125,9,A8,Sample,
581,20190125,9,A9,Sample,
582,20190125,9,A10,Sample,
582,20190125,9,A11,Sample,
582,20190125,9,A12,Sample,
589,20190125,9,B1,Sample,
589,20190125,9,B2,Sample,
589,20190125,9,B3,Sample,
590,20190125,9,B4,Sample,
590,20190125,9,B5,Sample,
590,20190125,9,B6,Sample,
591,20190125,9,B7,Sample,
591,20190125,9,B8,Sample,
591,20190125,9,B9,Sample,
598,20190125,9,B10,Sample,
598,20190125,9,B11,Sample,
598,20190125,9,B12,Sample,
599,20190125,9,C1,Sample,
599,20190125,9,C2,Sample,
599,20190125,9,C3,Sample,
600,20190125,9,C4,Sample,
600,20190125,9,C5,Sample,
600,20190125,9,C6,Sample,
607,20190125,9,C7,Sample,
607,20190125,9,C8,Sample,
607,20190125,9,C9,Sample,
608,20190125,9,C10,Sample,
608,20190125,9,C11,Sample,
