Date of Patch_HOToto,Date.Release,lunar.day,Colony,Timepoint,Treatment.1,Treatment.2,treat.zone,Treat.zone.2,Reef,Larval_No,Length_1,Width_1,Volume_1,Length_2,Width_2,Shape_class
20170717,20170717,-6,P2,T1,Ambient,N/A,Patch_AMB,N/A,Patch,6,0.743,0.568,0.14648488,0.743,0.568,Circular
20170717,20170717,-6,P2,T1,Ambient,N/A,Patch_AMB,N/A,Patch,7,0.932,0.535,0.20448332,0.932,0.535,Circular
20170717,20170717,-6,P2,T1,Ambient,N/A,Patch_AMB,N/A,Patch,8,0.656,0.572,0.11580258,0.656,0.572,Circular
20170717,20170717,-6,P2,T1,Ambient,N/A,Patch_AMB,N/A,Patch,9,0.886,0.619,0.247381513,0.886,0.619,Circular
20170717,20170717,-6,P2,T1,Ambient,N/A,Patch_AMB,N/A,Patch,10,0.748,0.797,0.292306409,0.797,0.748,Circular
20170717,20170717,-6,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,1,0.77,1.043,0.530479452,1.043,0.77,Circular
20170717,20170717,-6,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,2,0.71,0.687,0.195681005,0.71,0.687,Irregular
20170717,20170717,-6,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,3,0.738,0.737,0.243313496,0.738,0.737,Circular
20170717,20170717,-6,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,4,0.764,0.799,0.306477626,0.799,0.764,Circular
20170717,20170717,-6,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,5,0.827,0.836,0.393135329,0.836,0.827,Circular
20170717,20170717,-6,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,6,1.051,0.862,0.675053919,1.051,0.862,Irregular
20170717,20170717,-6,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,7,1.134,1.01,1.07891531,1.134,1.01,Circular
20170717,20170717,-6,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,8,0.912,0.858,0.503596556,0.912,0.858,Circular
20170717,20170717,-6,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,9,0.751,0.76,0.2679326,0.76,0.751,Circular
20170717,20170717,-6,P3,T1,Ambient,N/A,Patch_AMB,N/A,Patch,10,0.798,0.63,0.207876493,0.798,0.63,Circular
20170722,20170722,-1,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,1,0.885,0.868,0.485338218,0.885,0.868,Circular
20170722,20170722,-1,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,2,0.979,0.949,0.709931273,0.979,0.949,Circular
20170722,20170722,-1,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,3,0.803,0.87,0.401409915,0.87,0.803,Circular
20170722,20170722,-1,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,4,0.909,1.072,0.780972671,1.072,0.909,Circular
20170722,20170722,-1,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,5,0.747,0.78,0.279221534,0.78,0.747,Circular
20170722,20170722,-1,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,6,0.877,0.957,0.579350734,0.957,0.877,Circular
20170722,20170722,-1,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,7,0.835,0.901,0.465522881,0.901,0.835,Circular
20170722,20170722,-1,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,8,0.833,0.922,0.485143642,0.922,0.833,Circular
20170722,20170722,-1,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,9,1.014,0.953,0.768033583,1.014,0.953,Circular
20170722,20170722,-1,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,10,1.046,0.935,0.786692646,1.046,0.935,Circular
20170723,20170723,0,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,1,0.865,0.725,0.323464577,0.865,0.725,Circular
20170723,20170723,0,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,2,0.805,0.858,0.392360099,0.858,0.805,Circular
